,pvalue
MYC,4.093118498949231e-07
IGF1R,9.162187869369323e-07
TP53,1.2567062874297079e-06
KRAS,1.9321657681663944e-05
ERBB2,4.676704021374383e-05
WHSC1L1,6.310191091353378e-05
SPOP,0.0001169300131248813
IDH2,0.00023709436333115586
KMT2C,0.0003508040179845481
SMARCA1,0.0003508040179845481
CCND1,0.0005158278156079214
IKBKB,0.0006101936797501569
AR,0.0008018139952237061
BTK,0.0009640512397453387
PSIP1,0.0009640512397453387
CCNE1,0.0015638779079385412
PIK3C2B,0.0017804913032237171
MEN1,0.002133908356403332
TBL1X,0.002133908356403332
HCFC1,0.0026303018540276427
RB1,0.003544229309273246
F8,0.004601378886333005
EGFR,0.005462517846223811
ATM,0.005870865472697225
TERT,0.006148124317973396
NOTCH1,0.0066989501193227136
VWF,0.0066989501193227136
PTEN,0.00764584109618976
CARD11,0.00837657209572322
FOXL2,0.00837657209572322
STAG2,0.00837657209572322
EML4,0.010746219874048505
RTN4,0.010746219874048505
NUP107,0.010746219874048505
NCOR2,0.010746219874048505
CYP4F11,0.010746219874048505
BCL9,0.010746219874048505
SPRED1,0.010746219874048505
ERBB4,0.014111839166951115
DLG1,0.014111839166951115
LAMA2,0.014111839166951115
UBC,0.014111839166951115
MYH11,0.014111839166951115
COL6A3,0.01577860171902767
DNMT1,0.01624813324209449
CTNNA3,0.018122141220490356
CBL,0.018122141220490356
MYLK2,0.018122141220490356
CHEK2,0.018122141220490356
COL2A1,0.018122141220490356
SMAD9,0.018122141220490356
SERPINE1,0.018122141220490356
NCOA3,0.02153107374317225
PLCG1,0.023949019613169455
DICER1,0.023949019613169455
THBS1,0.023949019613169455
EIF4A2,0.023949019613169455
GTSE1,0.023949019613169455
RELN,0.02528189271611566
FOXA1,0.026235853278884436
PDGFRA,0.027491569859165885
PPP2R1A,0.027491569859165885
BCL2,0.027491569859165885
MDM4,0.02881523851574708
FAT4,0.03461790690656437
FLT3,0.03461790690656437
RAD50,0.03783592092533306
ABCC3,0.03783592092533306
GPHN,0.03783592092533306
ARAF,0.03783592092533306
TNPO1,0.03783592092533306
ADCY1,0.03783592092533306
RAPGEF1,0.03783592092533306
ARHGAP29,0.04110395686637526
GRIN2A,0.04110395686637526
CACNA1C,0.04110395686637526
STK11,0.04110395686637526
SRSF2,0.043081274491830836
LRP4,0.043994221460116736
GLI3,0.043994221460116736
JAK2,0.04620399459415864
